"CECC.Record.Number","detention_length_base","censored_base","detention_length_extra","censored_extra","dyear","male","age","bigcity","serious_issue","mongol","tibetan","uyghur","other","buddhist","christian","cultist","falun_gong","muslim","religious_leader","student","activist_ngo","journalist_publishing","dangerous_professions"
"2023-00018",NA,1,NA,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00128",NA,1,NA,1,2022,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-00219",16.5916483227651,1,46.5223248020501,0,2022,0,51.2493150684932,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00145",16.920195814305,1,16.920195814305,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2015-00369",16.9530505634589,1,16.9530505634589,1,2022,1,49.4602739726027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00049",NA,1,NA,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00175",17.0844695600749,1,17.0844695600749,1,2022,1,53.4904109589041,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-00076",17.3144528041528,1,17.3144528041528,1,2022,0,51.3835616438356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00520",17.3801623024608,1,47.9679337648257,0,2022,1,44.0301369863014,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2022-00109",17.5444360482308,1,17.5444360482308,1,2022,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00020",18.3658047770805,1,18.3658047770805,1,2022,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-00295",18.6286427703124,1,18.6286427703124,1,2022,1,49.9342465753425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00096",18.6614975194664,1,18.6614975194664,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00097",18.6614975194664,1,18.6614975194664,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00098",18.6614975194664,1,18.6614975194664,1,2022,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00087",18.8586260143904,1,18.8586260143904,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2008-00362",NA,1,NA,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00016",NA,1,NA,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00034",NA,1,NA,1,2022,0,23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00014",NA,1,NA,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00131",NA,1,NA,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020-00162",NA,1,NA,1,2022,1,71.586301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00084",18.9571902618524,1,18.9571902618524,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00086",NA,1,NA,1,2022,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00085",18.9571902618524,1,18.9571902618524,1,2022,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00017",NA,1,NA,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00015",NA,1,NA,1,2022,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00001",0.229983244077931,0,0.229983244077931,0,2021,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-00321",19.6471399940861,1,47.9679337648257,0,2021,0,46.7780821917808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-00180",13.1418996615961,0,13.1418996615961,0,2021,1,52.2739726027397,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00015",19.8114137398561,1,5.94670959687223,0,2021,1,52.427397260274,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"2022-00047",15.4088773532214,0,15.4088773532214,0,2021,1,49.3479452054795,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"2023-00092",19.8442684890101,1,19.8442684890101,1,2021,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-00091",19.8442684890101,1,19.8442684890101,1,2021,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00014",NA,1,NA,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2005-00143",NA,1,NA,1,2021,1,55.3698630136986,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-00292",20.205670729704,1,20.205670729704,1,2021,0,56.2739726027397,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00388",11.9919834412064,0,11.9919834412064,0,2021,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2021-00545",11.9919834412064,0,11.9919834412064,0,2021,1,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00043",20.4356539737819,1,20.4356539737819,1,2021,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00042",20.4356539737819,1,20.4356539737819,1,2021,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00175",0.427111739001873,0,0.427111739001873,0,2021,1,53.1780821917808,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005-002321",21.1913132043237,1,21.1913132043237,1,2021,1,58.3616438356164,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"2023-00106",21.7169891907875,1,21.7169891907875,1,2021,0,42.3178082191781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006-00204",21.7169891907875,1,21.7169891907875,1,2021,1,44.3178082191781,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00515",6.93235207149193,0,6.93235207149193,0,2021,1,40.7780821917808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00188",21.9469724348655,1,21.9469724348655,1,2021,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00190",21.9469724348655,1,21.9469724348655,1,2021,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00189",21.9469724348655,1,21.9469724348655,1,2021,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00082",NA,1,NA,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00101",NA,1,NA,1,2021,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00125",NA,1,NA,1,2021,1,34.3342465753425,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00083",NA,1,NA,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00100",NA,1,NA,1,2021,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00099",NA,1,NA,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00187",0.262837993231922,0,0.262837993231922,0,2021,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00092",22.2426651772514,1,22.2426651772514,1,2021,0,71.158904109589,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-00454",22.3740841738673,1,22.3740841738673,1,2021,0,33.2630136986301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00517",22.3740841738673,1,22.3740841738673,1,2021,1,38.2630136986301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-00528",22.5055031704833,1,22.5055031704833,1,2021,0,48.4657534246575,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00078",22.8997601603312,1,22.8997601603312,1,2021,0,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2015-00257",NA,1,NA,1,2021,0,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2009-00022",NA,1,NA,1,2021,1,54.5753424657534,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"2021-00534",23.1625981535631,1,23.1625981535631,1,2021,1,26.3945205479452,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00003",23.2283076518711,1,23.2283076518711,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00002",23.2283076518711,1,23.2283076518711,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00068",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2018-00682",0.459966488155863,0,0.459966488155863,0,2021,1,NA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2022-00063",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00064",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00073",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00072",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00065",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00080",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00069",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00062",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2022-00071",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00070",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2022-00067",23.2940171501791,1,23.2940171501791,1,2021,1,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
